segment,exposure_at_risk,rm_note,default,loan_vintage_month,borrower_id,pd_score,split,band
Credit Card,7284.0,Borrower reports 2 consecutive late payments this quarter.,1,6,0,96.5909090909091,train,High
Credit Card,38846.17,Standard KYC refresh completed this month.,1,6,1,38.450704225352105,train,Elevated
Retail Personal,33223.17,"Business expansion noted, turnover trending up.",0,1,2,5.128205128205128,train,Watch
SME,54685.67,"Routine review call completed, no material change flagged.",0,9,3,17.177914110429448,train,Watch
SME,604099.17,Borrower confirmed employment status unchanged.,0,6,4,0.0,train,Watch
Consumer Durable,32247.67,Borrower reports 1 consecutive late payments this quarter.,0,3,5,2.6530612244897958,train,Watch
Retail Personal,52868.67,Borrower confirmed employment status unchanged.,0,5,6,26.755852842809364,train,Watch
Consumer Durable,65744.5,"RM flags declining GST turnover, down 35% over two quarters.",0,4,7,31.38093202223172,train,Elevated
Agri,92728.17,Standard KYC refresh completed this month.,0,7,8,2.6530612244897958,train,Watch
SME,195834.5,Borrower confirmed employment status unchanged.,0,9,9,0.1779359430604982,train,Watch
Consumer Durable,77447.5,RM notes irregular business income and rising informal borrowing.,1,4,10,68.6046511627907,train,High
Retail Personal,47736.0,Repeated bounced auto-debit on the linked account this cycle.,0,1,11,32.454923717059636,train,Elevated
Credit Card,257002.33,RM notes irregular business income and rising informal borrowing.,0,9,12,2.6530612244897958,train,Watch
Consumer Durable,54000.0,Client mentioned cash flow stress and requested a payment holiday.,0,2,13,38.450704225352105,train,Elevated
Credit Card,36316.0,"Routine review call completed, no material change flagged.",1,4,14,31.38093202223172,train,Elevated
Agri,139494.17,Borrower confirmed employment status unchanged.,1,5,15,19.600499375780274,train,Watch
Consumer Durable,32310.67,Borrower confirmed employment status unchanged.,0,9,16,8.99581589958159,train,Watch
Retail Personal,33711.33,Borrower confirmed employment status unchanged.,0,1,17,5.764966740576496,train,Watch
Retail Personal,21701.33,Borrower confirmed employment status unchanged.,0,3,18,3.5175879396984926,train,Watch
Credit Card,31180.33,"Routine review call completed, no material change flagged.",0,2,19,5.764966740576496,train,Watch
SME,40311.5,Borrower reports 1 consecutive late payments this quarter.,1,4,20,68.66666666666667,train,High
Retail Personal,112539.5,Standard KYC refresh completed this month.,0,7,21,2.922374429223744,train,Watch
SME,170957.33,"Routine review call completed, no material change flagged.",0,7,22,0.0,train,Watch
SME,159719.67,"Routine review call completed, no material change flagged.",0,4,23,0.5107252298263534,train,Watch
Retail Personal,52218.67,"Routine review call completed, no material change flagged.",0,5,24,0.9485094850948509,train,Watch
Credit Card,262329.5,Standard KYC refresh completed this month.,0,6,25,0.9485094850948509,train,Watch
Credit Card,23379.83,RM notes irregular business income and rising informal borrowing.,0,1,26,19.600499375780274,train,Watch
SME,383125.17,Borrower confirmed employment status unchanged.,0,9,27,0.1779359430604982,train,Watch
Consumer Durable,86476.0,"Routine review call completed, no material change flagged.",0,6,28,2.922374429223744,train,Watch
Credit Card,6793.5,Standard KYC refresh completed this month.,0,2,29,24.342105263157894,train,Watch
Credit Card,106189.0,"Routine review call completed, no material change flagged.",0,4,30,0.9485094850948509,train,Watch
Consumer Durable,36530.83,Standard KYC refresh completed this month.,0,6,31,31.38093202223172,train,Elevated
SME,63000.0,Borrower confirmed employment status unchanged.,1,3,32,22.905027932960895,train,Watch
Credit Card,46639.5,"RM flags declining GST turnover, down 36% over two quarters.",1,6,33,32.454923717059636,train,Elevated
SME,133135.83,Standard KYC refresh completed this month.,0,9,34,0.0,train,Watch
Retail Personal,25301.67,Borrower confirmed employment status unchanged.,0,7,35,31.38093202223172,train,Elevated
Retail Personal,59168.67,"RM flags declining GST turnover, down 17% over two quarters.",1,3,36,68.6046511627907,train,High
Retail Personal,74197.5,Standard KYC refresh completed this month.,0,8,37,2.6530612244897958,train,Watch
SME,100354.17,Standard KYC refresh completed this month.,0,9,38,0.0,train,Watch
SME,97191.83,Repeated bounced auto-debit on the linked account this cycle.,0,6,39,31.38093202223172,train,Elevated
SME,74458.5,RM notes irregular business income and rising informal borrowing.,0,9,40,40.9967845659164,train,Elevated
Consumer Durable,63234.0,"RM flags declining GST turnover, down 43% over two quarters.",0,3,41,0.9950248756218906,train,Watch
Credit Card,61124.5,Client mentioned cash flow stress and requested a payment holiday.,0,4,42,40.9967845659164,train,Elevated
Credit Card,500690.0,Standard KYC refresh completed this month.,0,1,43,19.600499375780274,train,Watch
SME,168283.17,Borrower confirmed employment status unchanged.,1,6,44,2.922374429223744,train,Watch
Credit Card,41279.0,Borrower reports 6 consecutive late payments this quarter.,1,9,45,96.7948717948718,train,High
Credit Card,24647.33,Repeated bounced auto-debit on the linked account this cycle.,1,4,46,31.38093202223172,train,Elevated
Consumer Durable,64431.5,RM notes irregular business income and rising informal borrowing.,0,7,47,31.38093202223172,train,Elevated
